,Data,pib
0,2004-01-01,144558.6
1,2004-02-01,142861.3
2,2004-03-01,157363.5
3,2004-04-01,156953.9
4,2004-05-01,159498.9
5,2004-06-01,165342.2
6,2004-07-01,171370.9
7,2004-08-01,169178.9
8,2004-09-01,164702.5
9,2004-10-01,170536.5
10,2004-11-01,176921.5
11,2004-12-01,178462.4
12,2005-01-01,163540.1
13,2005-02-01,160701.6
14,2005-03-01,175468.7
15,2005-04-01,177179.0
16,2005-05-01,177496.7
17,2005-06-01,180881.8
18,2005-07-01,184073.7
19,2005-08-01,187246.6
20,2005-09-01,181538.9
21,2005-10-01,189183.0
22,2005-11-01,194794.5
23,2005-12-01,198480.0
24,2006-01-01,185564.8
25,2006-02-01,178482.2
26,2006-03-01,190223.3
27,2006-04-01,185030.6
28,2006-05-01,197874.3
29,2006-06-01,199071.9
30,2006-07-01,206974.4
31,2006-08-01,209818.0
32,2006-09-01,201055.4
33,2006-10-01,214271.7
34,2006-11-01,219724.2
35,2006-12-01,221359.3
36,2007-01-01,211130.7
37,2007-02-01,202704.1
38,2007-03-01,217588.9
39,2007-04-01,215128.8
40,2007-05-01,226537.9
41,2007-06-01,228988.6
42,2007-07-01,233824.1
43,2007-08-01,235019.1
44,2007-09-01,223002.7
45,2007-10-01,241939.4
46,2007-11-01,241938.4
47,2007-12-01,242460.2
48,2008-01-01,237247.7
49,2008-02-01,232680.4
50,2008-03-01,242124.4
51,2008-04-01,248793.8
52,2008-05-01,254936.9
53,2008-06-01,265791.2
54,2008-07-01,278095.6
55,2008-08-01,269235.6
56,2008-09-01,265271.2
57,2008-10-01,280522.5
58,2008-11-01,270698.8
59,2008-12-01,264404.8
60,2009-01-01,249934.4
61,2009-02-01,244024.5
62,2009-03-01,262181.7
63,2009-04-01,259563.5
64,2009-05-01,268324.0
65,2009-06-01,275701.2
66,2009-07-01,285444.2
67,2009-08-01,284240.4
68,2009-09-01,283157.9
69,2009-10-01,301895.9
70,2009-11-01,305048.8
71,2009-12-01,313522.8
72,2010-01-01,288972.8
73,2010-02-01,285723.2
74,2010-03-01,311651.6
75,2010-04-01,307083.5
76,2010-05-01,315988.4
77,2010-06-01,321023.2
78,2010-07-01,332454.2
79,2010-08-01,334225.6
80,2010-09-01,331255.9
81,2010-10-01,344963.8
82,2010-11-01,356707.5
83,2010-12-01,355797.4
84,2011-01-01,333255.6
85,2011-02-01,334982.0
86,2011-03-01,347879.6
87,2011-04-01,349049.3
88,2011-05-01,366256.2
89,2011-06-01,370951.2
90,2011-07-01,373143.3
91,2011-08-01,376769.3
92,2011-09-01,361724.6
93,2011-10-01,378491.0
94,2011-11-01,389560.8
95,2011-12-01,391595.1
96,2012-01-01,367215.4
97,2012-02-01,367177.3
98,2012-03-01,392996.5
99,2012-04-01,381795.3
100,2012-05-01,400281.3
101,2012-06-01,398714.5
102,2012-07-01,414617.4
103,2012-08-01,419906.3
104,2012-09-01,393524.7
105,2012-10-01,422672.1
106,2012-11-01,423816.4
107,2012-12-01,423195.9
108,2013-01-01,414131.8
109,2013-02-01,398645.4
110,2013-03-01,427409.8
111,2013-04-01,438856.8
112,2013-05-01,439054.2
113,2013-06-01,442857.0
114,2013-07-01,458458.9
115,2013-08-01,452862.2
116,2013-09-01,438766.7
117,2013-10-01,466166.0
118,2013-11-01,465693.8
119,2013-12-01,473552.5
120,2014-01-01,455935.0
121,2014-02-01,450358.8
122,2014-03-01,462159.8
123,2014-04-01,468767.5
124,2014-05-01,473347.1
125,2014-06-01,458516.5
126,2014-07-01,481994.0
127,2014-08-01,477052.9
128,2014-09-01,476520.6
129,2014-10-01,493304.7
130,2014-11-01,489484.4
131,2014-12-01,499867.7
132,2015-01-01,472913.9
133,2015-02-01,460156.7
134,2015-03-01,501752.2
135,2015-04-01,486614.6
136,2015-05-01,483239.7
137,2015-06-01,486647.5
138,2015-07-01,502275.2
139,2015-08-01,492505.7
140,2015-09-01,496004.7
141,2015-10-01,518828.9
142,2015-11-01,513819.8
143,2015-12-01,521918.7
144,2016-01-01,490284.0
145,2016-02-01,491011.7
146,2016-03-01,516985.9
147,2016-04-01,508058.7
148,2016-05-01,513267.5
149,2016-06-01,536459.3
150,2016-07-01,532947.8
151,2016-08-01,534761.8
152,2016-09-01,509975.0
153,2016-10-01,525162.7
154,2016-11-01,541530.7
155,2016-12-01,565780.5
156,2017-01-01,526564.7
157,2017-02-01,514120.5
158,2017-03-01,544312.9
159,2017-04-01,525238.1
160,2017-05-01,548887.7
161,2017-06-01,556787.6
162,2017-07-01,557458.2
163,2017-08-01,555578.7
164,2017-09-01,528871.2
165,2017-10-01,549304.7
166,2017-11-01,566209.3
167,2017-12-01,588892.8
168,2018-01-01,555644.6
169,2018-02-01,528905.5
170,2018-03-01,560120.7
171,2018-04-01,559359.8
172,2018-05-01,547016.5
173,2018-06-01,580697.8
174,2018-07-01,583054.8
175,2018-08-01,582756.7
176,2018-09-01,556776.6
177,2018-10-01,591983.9
178,2018-11-01,593926.9
179,2018-12-01,603155.2
180,2019-01-01,578452.6
181,2019-02-01,567984.5
182,2019-03-01,579172.6
183,2019-04-01,592916.0
184,2019-05-01,604607.4
185,2019-06-01,598283.0
186,2019-07-01,627049.7
187,2019-08-01,616157.6
188,2019-09-01,614187.9
189,2019-10-01,641340.1
190,2019-11-01,634826.2
191,2019-12-01,646343.1
192,2020-01-01,617747.2
193,2020-02-01,609810.8
194,2020-03-01,616335.3
195,2020-04-01,555387.4
196,2020-05-01,561628.4
197,2020-06-01,591537.3
198,2020-07-01,629700.9
199,2020-08-01,625136.3
200,2020-09-01,635263.9
201,2020-10-01,661149.0
202,2020-11-01,665182.8
203,2020-12-01,685042.6
204,2021-01-01,653790.4
205,2021-02-01,676255.0
206,2021-03-01,735993.6
207,2021-04-01,713652.1
208,2021-05-01,712134.2
209,2021-06-01,714893.3
210,2021-07-01,743091.8
211,2021-08-01,740615.1
212,2021-09-01,745774.4
213,2021-10-01,755323.0
214,2021-11-01,771558.9
215,2021-12-01,782833.5
216,2022-01-01,722911.9
217,2022-02-01,753608.1
218,2022-03-01,839188.6
219,2022-04-01,819315.6
220,2022-05-01,826035.9
221,2022-06-01,826485.9
222,2022-07-01,853929.3
223,2022-08-01,853588.1
224,2022-09-01,836127.3
225,2022-10-01,852550.0
226,2022-11-01,858355.9
227,2022-12-01,873219.8
228,2023-01-01,816749.8
229,2023-02-01,820621.5
